Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
Calles,fitness,617951,diario-superacion-fisica-maiki-,Diarios,685,"
¿Estamos presenciando la creación de un TITAN?
 ",0,2018-10-08 11:30:00
Calles,fitness,617951,diario-superacion-fisica-maiki-,Diarios,922,"
#919 No sería mejor concentrar toda tu esencia en un mismo hilo? Vida, ejercicio, alimentación, mujeres....! ",0,2018-10-08 22:57:00
Calles,fitness,617951,diario-superacion-fisica-maiki-,Diarios,3156,"
Titan! Jefazo! Protozoo! Espermatozoide! Gigante! ¿Cómo haces para ser tan perfecto, tener esa progresión y luego estás lleno de molestias, pinchazos, heridas y mierdas? ",0,2018-10-22 22:36:00
Calles,fitness,617951,diario-superacion-fisica-maiki-,Diarios,5205,"
#5203 10-11km/h es -1km/h. Corres hacia atrás? ",9,2018-11-07 21:28:00
Calles,wow,596926,world-of-warcraft-classic-real-,Noticia,325,"
Existe alguna web donde ver el número real de usuarios conectados? tipo estadisticas de servidores pirata ",0,2017-11-04 18:46:00
Calles,wow,596926,world-of-warcraft-classic-real-,Noticia,4458,"
Se sabe algo del bloqueo de la otra facción cuando te creas un pj?
En el vanilla cuando creabas un Alianza te bloqueaban para no poder crear un orda, en el classic será igual? ",0,2018-11-03 23:23:00
Calles,gamedev,446138,pixelart-el-mundo-del-pixel-,2D,2602,"
https://twitter.com/Human_Gallery/status/714398638731091969 ",1,2016-03-28 14:08:00
Calles,gamedev,446138,pixelart-el-mundo-del-pixel-,2D,3140,"
#3134 El hecho de ir completando una imagen todos tiene buena pinta, cada uno aporta algo a la imagen y el siguiente coge el relevo del anterior.
Puede salir algo bastante curioso de ahí. ",0,2018-08-31 20:46:00
Calles,cocina,590373,meal-prep-,Otros,144,"
Una pregunta, alguna forma de preparar arroz (yo para hervirlo uso una arrocera) y poder comerlo durante la semana sin que se haga todo pasta/piedra? ",1,2017-09-03 14:31:00
Calles,cocina,590373,meal-prep-,Otros,152,"
#145 Funcionó a la perfección, una vez hervido lavarlo y ya, gracias! ",1,2017-09-04 21:27:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,219,"
#214 Creo que en nombre de todos te pido que a ver si puedes contar esas historias jajaj ",0,2016-01-04 14:57:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,513,"
Duda, me gusta el estilo directo y tengo un par de dudas:
¿Sería positivo o negativo decirle que sientes mucha curiosidad por conocerla (algo más intimo, no solo folleteo y ya)?
¿Consejos para pedir una cita? ",0,2016-01-13 19:07:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,522,"
#520 Sinceramente, me gustaría saber más de tu experiencia(sentándome en el suelo cual niño y prestando atención) ",1,2016-01-13 20:59:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,669,"
#668 Existen apps que te permiten ubicar el gps donde quieras de forma gratuita.
Android: fake gps Location ",2,2016-01-20 22:02:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,1063,"
#1057 Fan! ",0,2016-02-07 21:28:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,4888,"
#4886 ¿Alguna lectura especialmente recomendada? ",0,2017-03-03 18:56:00
Calles,off-topic,551030,rincon-seduccion-v3-100-menos-regalos-,Sexo,5635,"
Duda, ¿Como hacéis para entrar en estado y marear con más soltura? ¿algún truco o consejo para empezar la noche con buen pie? ",0,2017-06-25 14:18:00
Calles,motor,524695,diario-construccion-avion-,Motor,316,"
#314 ¿Alguna novedad sobre el proyecto?
Vivo cerca, hace más de 1 año me pasé y vi el avión en construcción, cuando ya lo tengais acabado avisa de algún finde que lo mostréis y voleis para verlo!! ",0,2017-04-09 20:59:00
Calles,juegos-mesa-rol,482257,tg-quien-le-importa-tu-codex-20-,Wargame,4721,"
#4720 ¿Solo están en inglés? ",0,2017-04-01 20:26:00
Calles,off-topic,479661,mveros-independizados-gastos-mensuales-,Debate,689,"
#687 Vive en un hostal ",0,2017-01-16 22:30:00
Calles,tv,532044,cuarto-milenio-mesa-redonda-,TV,219,"
 ",1,2017-01-14 18:56:00
Calles,off-topic,576388,si-pudieras-volver-nacer-sexo-sexualidad-elegirias-,Debate,38,"
#37 Musulmana?? ",0,2017-01-08 22:41:00
Calles,off-topic,575873,escritorios-enero-2017-,Clásico,22,"
#15 ¿Como se llama la aplicación de la barra inferior? ",0,2017-01-06 17:12:00
Calles,off-topic,575860,os-traigo-fuego-dioses-forma-radio-,Viajes,31,"
Espectacular! ",0,2017-01-02 20:38:00
Calles,juegos-mesa-rol,463191,blood-bowl-,Wargame,86,"
¿Alguien que retransmita partidas online? el juego me gusta (tenía el juego de tablero de hace 10 años y me compré el primer juego de pc que sacaron) pero nunca vi una comunidad online grande y me gustaría ver partidas y estrategias. ",0,2016-11-13 13:37:00
Calles,fitness,570731,mi-transformacion-en-11-meses-,General,90,"
#83 no seas parguela, luego la publi de ashley madison bien que la miras! ",1,2016-10-18 22:12:00
Calles,motor,446103,fotos-de-nuestros-coches-20-,Turismos,4007,"
#3991 Que modelo es? ",0,2016-08-09 22:21:00
Calles,off-topic,561797,nose-hacer-estoy-pasando-muy-mal-,Amor,61,"
#58 TOP! ",0,2016-06-08 23:56:00
Calles,off-topic,473791,tatuajes-,Miscelánea,12759,"
¿Alguna web con recopilación de tatuajes minimalistas? ",0,2016-01-13 19:04:00
Calles,off-topic,473791,tatuajes-,Miscelánea,13681,"
Alguien sabe algo sobre tatuajes Ultravioleta o Fluorescentes (estos últimos no sé si existen realmente)? ",0,2016-06-04 22:38:00
Calles,off-topic,560757,muere-nina-13-anos-escaparse-para-ir-fiesta-,Noticia,75,"
Y esto es lo que yo denomino selección natural. ",1,2016-05-25 21:56:00
Calles,off-topic,552731,i-edicion-concurso-de-moda-mv-,Evento,17,"
¿Cuantas manitas arriba es necesario para la categoría de ""ropa interior/lencería""? ",7,2016-01-25 19:31:00
Calles,off-topic,552731,i-edicion-concurso-de-moda-mv-,Evento,328,"
Siendo el mismo conjunto, es tontería limitar a una foto, a más fotos más se puede ver, igual en una foto no te convence pero viéndolo en otro ambiente te convence más o te ayuda descartarlo. ",0,2016-02-12 10:45:00
Calles,cine,550098,premios-goya-30-edicion-,Cine,44,"
#39 https://pbs.twimg.com/tweet_video/CakH3sIW0AA1z_V.mp4 ",0,2016-02-06 23:26:00
Calles,dev,485247,tema-general-de-modelado-3d-,Diseño,2007,"
#2006 Wow, el resultado es impresionante, ¿hay más imágenes? (además si hay previas al render también) ",0,2016-01-24 22:47:00
Calles,dev,485247,tema-general-de-modelado-3d-,Diseño,2009,"
#2008 Me has dejado sin palabras, Enhorabuena! Muy sorprendido con el resultado final y la calidad/realismo! ",0,2016-01-24 22:51:00
Calles,mmo,550523,naval-action-hg-beautiful-age-of-sail-,PC,109,"
¿Se podría decir que es similar a la saga Patrician/Port Royale? (En cuanto a toda la parte de comercio, riqueza, producción de bienes, rutas....)
Me fascinó la saga Patrician (excepto el último, lo cagaron mucho) y no encuentro ningún juego que se acerque. ",0,2016-01-21 16:36:00
